Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
01/31/2017,VOLK,4D,,BLK,N895558,IL,701 N. Sacramento,(773) 265-7605,6874519
01/31/2017,NISS,LL,,BLK,E406181,IL,701 N. Sacramento,(773) 265-7605,6874516
01/05/2017,DODG,VN,,RED,E568549,IL,10300 S. Doty,(773) 568-8495,2810076
01/02/2017,CHEV,LL,TK,BLK,,IL,10300 S. Doty,(773) 568-8495,2809703
01/31/2017,BUIC,4D,,RED,S396615,IL,701 N. Sacramento,(773) 265-7605,6874517
01/31/2017,JEEP,LL,,BLK,V241099,IL,701 N. Sacramento,(773) 265-7605,6874518
02/23/2017,CHEV,LL,,BLK,Q711484,IL,701 N. Sacramento,(773) 265-7605,6877644
02/23/2017,CHEV,4D,MAL,GRY,E521741,IL,701 N. Sacramento,(773) 265-7605,6877679
12/11/2016,FORD,4D,,SIL,E355456,IL,701 N. Sacramento,(773) 265-7605,6867776
01/30/2017,TOYT,4D,,BLU,Q464587,IL,10300 S. Doty,(773) 568-8495,2812800
01/31/2017,FORD,VN,,GRY,Y757660,IL,10300 S. Doty,(773) 568-8495,6874487
01/30/2017,HOND,4D,,GRN,Q707227,IL,10300 S. Doty,(773) 568-8495,2812796
01/30/2017,MERC,LL,,BLK,Z588649,IL,10300 S. Doty,(773) 568-8495,2812799
01/05/2017,CHEV,4D,,BLK,N4487A,WI,701 N. Sacramento,(773) 265-7605,6870701
01/05/2017,INFI,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6870702
01/31/2017,CADI,4D,,BLK,Z270070,IL,701 N. Sacramento,(773) 265-1846,1535492
01/06/2017,TOYT,4D,,SIL,X710183,IL,400 E. Lower Wacker,(312) 744-7550,959876
02/23/2017,DODG,4D,,GRY,9809200,IL,701 N. Sacramento,(773) 265-7605,6877631
01/30/2017,CHRY,VN,,SIL,Q540377,IL,10300 S. Doty,(773) 568-8495,2812804
01/31/2017,CHRY,LL,,BLK,R429682,IL,701 N. Sacramento,(773) 265-7605,6874488
01/31/2017,CHEV,LL,,GRY,Q504391,IL,10300 S. Doty,(773) 568-8495,2812836
01/31/2017,CHEV,2D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6874520
01/31/2017,HYUN,LL,,BLU,E202152,IL,10300 S. Doty,(773) 568-8495,2812868
02/01/2017,BUIC,4D,,TAN,E527477,IL,701 N. Sacramento,(773) 265-7605,6874636
02/23/2017,BUIC,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6877630
01/05/2017,VOLK,4D,,BLK,TRD293,NB,701 N. Sacramento,(773) 265-7605,6870632
01/30/2017,MERZ,HB,,SIL,1592453,IL,10300 S. Doty,(773) 568-8495,2812727
02/24/2017,NISS,VN,TK,RED,327T615,IL,701 N. Sacramento,(773) 265-7605,6877793
01/31/2017,CHEV,4D,,TAN,Z726858,IL,10300 S. Doty,(773) 568-8495,2812809
02/24/2017,MAZD,2D,,GRN,S943338,IL,701 N. Sacramento,(773) 265-7605,6877791
01/31/2017,GMC,LL,,RED,V737454,IL,10300 S. Doty,(773) 568-8495,2812810
01/07/2017,CHRY,VN,,GRN,ZY64975,IL,10300 S. Doty,(773) 568-8495,2810400
01/07/2017,HYUN,LL,,GLD,ZX24386,IL,10300 S. Doty,(773) 568-8495,2810401
01/07/2017,CHEV,4D,,SIL,Z992299,IL,10300 S. Doty,(773) 568-8495,2810407
01/30/2017,HOND,4D,,BLU,ZY71547,IL,10300 S. Doty,(773) 568-8495,2812739
01/07/2017,CHEV,VN,,MAR,Q923068,IL,10300 S. Doty,(773) 568-8495,2810404
01/31/2017,VOLK,4D,,BLU,92427FF,IL,10300 S. Doty,(773) 568-8495,2812808
01/29/2017,NISS,4D,,BLK,Q652961,IL,10300 S. Doty,(773) 568-8495,2812636
01/05/2017,GMC,VN,,WHI,Q141439,IL,10300 S. Doty,(773) 568-8495,2810057
01/29/2017,PONT,2D,,SIL,ZX21912,IL,10300 S. Doty,(773) 568-8495,2812621
01/31/2017,HOND,4D,,GRN,Q705071,IL,701 N. Sacramento,(773) 265-7605,6874484
02/23/2017,VOLV,4D,,GRY,2775NO,MS,701 N. Sacramento,(773) 265-7605,6877638
02/23/2017,CHEV,4D,,MAR,V858595,IL,701 N. Sacramento,(773) 265-7605,6877687
01/31/2017,CHRY,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,6874481
01/31/2017,FORD,4D,,BLK,Q165699,IL,10300 S. Doty,(773) 568-8495,2812838
02/23/2017,DODG,VN,,GLD,Q182848,IL,701 N. Sacramento,(773) 265-7605,6877685
02/23/2017,JEEP,LL,,RED,G986012,IL,10300 S. Doty,(773) 568-8495,2815473
01/31/2017,FORD,4D,,RED,S149624,IL,10300 S. Doty,(773) 568-8495,2812850
02/23/2017,CHEV,2D,,BLK,E880243,IL,10300 S. Doty,(773) 785-9752,1716853
02/23/2017,KTM,MC,CYL,WHI,DU7031,IL,701 N. Sacramento,(773) 265-7605,6877735
02/02/2017,LINC,LL,TK,BLK,E814148,IL,10300 S. Doty,(773) 568-8495,2813256
02/02/2017,DODG,4D,,GRY,L833664,IL,701 N. Sacramento,(773) 265-7605,6874760
02/02/2017,CHRY,4D,,BLU,K158878,IL,10300 S. Doty,(773) 568-8495,2813203
02/23/2017,SCIO,2D,,GRY,Q616805,IL,10300 S. Doty,(773) 785-9752,1716852
02/23/2017,NISS,4D,,BLK,E343628,IL,10300 S. Doty,(773) 568-8495,2815594
12/12/2016,HYUN,4D,,GRY,Z725263,IL,10300 S. Doty,(773) 568-8495,2808420
02/24/2017,BUIC,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2815627
02/23/2017,NISS,4D,,GLD,Q236515,IL,701 N. Sacramento,(773) 265-1846,1535561
01/29/2017,CHRY,4T,,GRY,Q190064,IL,10300 S. Doty,(773) 568-8495,2812715
01/28/2017,OLDS,4T,,TAN,,IL,701 N. Sacramento,(773) 265-7605,6874130
01/31/2017,CHRY,4D,,BLU,Y709030,IL,701 N. Sacramento,(773) 265-1846,1535491
02/23/2017,LINC,LL,,GRN,L417803,IL,701 N. Sacramento,(773) 265-1846,1535562
01/31/2017,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 785-9752,1716784
02/23/2017,BMW,4D,,GRY,WEK396,IN,701 N. Sacramento,(773) 265-7605,6877683
01/05/2017,DODG,4D,,SIL,V774665,IL,10300 S. Doty,(773) 568-8495,2810162
02/23/2017,DODG,VN,,WHI,Q347677,IL,10300 S. Doty,(773) 568-8495,2815598
02/23/2017,ACUR,4D,,GRY,Q133726,IL,701 N. Sacramento,(773) 265-7605,6877752
02/23/2017,HOND,4D,,GRN,Z250131,IL,701 N. Sacramento,(773) 265-7605,6877751
01/05/2017,CHEV,4D,,TAN,G237954,IN,701 N. Sacramento,(773) 265-7605,6870700
02/23/2017,CHEV,VN,,TAN,Q339468,IL,10300 S. Doty,(773) 568-8495,2815597
02/02/2017,CHRY,4D,,BLK,Z2667J,TN,701 N. Sacramento,(773) 265-7605,6874699
01/06/2017,NISS,4D,,RED,E820766,IL,701 N. Sacramento,(773) 265-7605,6870808
02/24/2017,FORD,PK,,WHI,1352452B,IL,10300 S. Doty,(773) 568-8495,2815621
02/24/2017,TOYT,4D,,SIL,E997793,IL,701 N. Sacramento,(773) 265-7605,6877805
12/11/2016,CHEV,VN,,SIL,BEC6513,AR,701 N. Sacramento,(773) 265-7605,6867790
12/11/2016,PONT,4T,,WHI,DLF6373,MI,701 N. Sacramento,(773) 265-7605,6867791
12/11/2016,NISS,LL,,BLK,PPGU5F,IL,701 N. Sacramento,(773) 265-7605,6867795
12/11/2016,FORD,4T,,BLK,Y827961,IL,701 N. Sacramento,(773) 265-7605,6867794
12/11/2016,CHRY,4T,,BLK,Q128242,IL,701 N. Sacramento,(773) 265-7605,6867793
12/11/2016,HYUN,4T,,LBL,2KVK22,MI,701 N. Sacramento,(773) 265-7605,6867796
12/11/2016,DODG,LL,,SIL,LYT856,MS,701 N. Sacramento,(773) 265-7605,6867789
02/02/2017,OLDS,4D,,GRN,Y757579,IL,10300 S. Doty,(773) 568-8495,2813253
02/02/2017,PONT,4D,,MAR,Z818687,IL,10300 S. Doty,(773) 568-8495,2813254
12/11/2016,HOND,2D,,BLK,,,10300 S. Doty,(773) 568-8495,2808397
02/02/2017,FORD,HB,FOC,RED,GM5506,IL,10300 S. Doty,(773) 568-8495,2813252
02/02/2017,SUBA,4D,,SIL,Y127197,IL,10300 S. Doty,(773) 568-8495,2813251
02/17/2017,NISS,4D,,GRN,N678677,IL,10300 S. Doty,(773) 568-8495,2814965
01/05/2017,ACUR,LL,,BLK,Y941048,IL,701 N. Sacramento,(773) 265-7605,6870671
01/05/2017,CHEV,LL,,SIL,V331771,IL,10300 S. Doty,(773) 568-8495,2810063
01/31/2017,HYUN,4D,,BLK,Q455542,IL,10300 S. Doty,(773) 568-8495,2812853
02/23/2017,FORD,2D,,RED,,IL,701 N. Sacramento,(773) 265-1846,1535563
02/23/2017,FORD,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6877692
02/23/2017,KIA,LL,,GRY,Z156151,IL,701 N. Sacramento,(773) 265-7605,6877691
02/23/2017,DODG,2D,,GRY,Z258678,IL,701 N. Sacramento,(773) 265-7605,6877694
01/31/2017,PONT,4D,,GRN,Q342863,IL,701 N. Sacramento,(773) 265-7605,6874533
01/31/2017,PLYM,VN,TK,GRN,V751484,IL,701 N. Sacramento,(773) 265-7605,6874546
02/23/2017,NISS,4D,,SIL,V621715,IL,701 N. Sacramento,(773) 265-7605,6877693
02/23/2017,CHEV,LL,,RED,Q370852,IL,701 N. Sacramento,(773) 265-7605,6877688
02/23/2017,NISS,4D,,BLU,708NHA,IN,701 N. Sacramento,(773) 265-7605,6877689
02/23/2017,CHRY,4D,,RED,E891585,IL,10300 S. Doty,(773) 568-8495,2815469
02/04/2017,TOYT,4D,,SIL,E162133,IL,701 N. Sacramento,(773) 265-7605,6874970
02/23/2017,TOYT,2D,,RED,H174464,IL,10300 S. Doty,(773) 568-8495,2815471
12/09/2016,OLDS,4D,,GRN,ZX21736,IL,10300 S. Doty,(773) 568-8495,2808236
12/09/2016,SATR,4D,,RED,Q381858,IL,701 N. Sacramento,(773) 265-7605,6867491
12/09/2016,CHEV,4D,,SIL,V423719,IL,10300 S. Doty,(773) 568-8495,2808237
02/04/2017,FORD,4D,,BLU,Q141478,IL,10300 S. Doty,(773) 568-8495,2813493
02/23/2017,PONT,4D,,BLK,Q482461,IL,701 N. Sacramento,(773) 265-7605,6877696
02/23/2017,CHEV,VN,,BLU,E350632,IL,701 N. Sacramento,(773) 265-7605,6877695
01/31/2017,NISS,4D,,GRN,Z834692,IL,701 N. Sacramento,(773) 265-7605,6874531
01/05/2017,HOND,4D,,TAN,Q179620,IL,701 N. Sacramento,(773) 265-7605,6870672
12/10/2016,KIA,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,6867513
02/02/2017,CHEV,4T,,SIL,Q630119,IL,701 N. Sacramento,(773) 265-7605,6874687
02/02/2017,TOYT,4D,,BLU,001VTW,MN,701 N. Sacramento,(773) 265-7605,6874764
02/24/2017,CADI,4D,,WHI,Q287318,IL,701 N. Sacramento,(773) 265-7605,6877880
02/24/2017,CHEV,VN,,GRN,Y747703,IL,701 N. Sacramento,(773) 265-7605,6877881
12/10/2016,CHEV,4D,,BLK,S223834,IL,701 N. Sacramento,(773) 265-7605,6867516
02/24/2017,INFI,4D,,GRY,V777599,IL,10300 S. Doty,(773) 785-9752,1716859
02/24/2017,LEXS,4D,,GLD,GIGINC1,IL,701 N. Sacramento,(773) 265-7605,6877885
02/02/2017,CADI,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6874762
02/17/2017,PONT,4D,,BLK,Q428147,IL,10300 S. Doty,(773) 568-8495,2814945
12/10/2016,CHEV,4D,,BLK,Q529076,IL,701 N. Sacramento,(773) 265-7605,6867592
12/10/2016,DODG,VN,,LBL,H684779,IL,701 N. Sacramento,(773) 265-7605,6867590
02/17/2017,ACUR,LL,,GLD,A441903,IL,10300 S. Doty,(773) 568-8495,2814986
02/17/2017,HOND,4D,,,,IL,10300 S. Doty,(773) 568-8495,2814990
01/08/2017,MITS,LL,,GRY,V854051,IL,701 N. Sacramento,(773) 265-7605,6871116
01/08/2017,CHEV,VN,,WHI,Z727469,IL,701 N. Sacramento,(773) 265-7605,6871112
01/08/2017,TOYT,4D,,RED,G850359,IL,701 N. Sacramento,(773) 265-7605,6871111
01/08/2017,CHEV,4D,,WHI,ZX83029,IL,701 N. Sacramento,(773) 265-7605,6871107
01/08/2017,CHRY,4D,,GRY,00616009,IL,701 N. Sacramento,(773) 265-7605,6871113
01/08/2017,HYUN,2D,,BLU,ZY40603,IL,701 N. Sacramento,(773) 265-7605,6871108
01/08/2017,TOYT,4D,,GRY,P314787,IL,701 N. Sacramento,(773) 265-7605,6871109
01/29/2017,LEXS,4D,,BLK,E553459,IL,10300 S. Doty,(773) 568-8495,2812700
01/29/2017,MAZD,4D,,SIL,ZZ19289,IL,701 N. Sacramento,(773) 265-7605,6874352
01/30/2017,HOND,2D,,BLK,775S495,IL,10300 S. Doty,(773) 568-8495,2812724
01/30/2017,CHEV,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6874368
01/30/2017,MITS,4T,,SIL,E482468,IL,701 N. Sacramento,(773) 265-7605,6874417
02/23/2017,NISS,4D,,SIL,Q557495,IL,701 N. Sacramento,(773) 265-7605,6877711
12/09/2016,BUIC,4D,,BLU,Y735891,IL,10300 S. Doty,(773) 568-8495,2808242
02/23/2017,MERC,4D,,BLK,,IL,10300 S. Doty,(773) 785-9752,1716850
12/09/2016,FORD,4D,,WHI,,,10300 S. Doty,(773) 568-8495,2808249
12/09/2016,CHEV,4D,,BLK,1303065B,IL,10300 S. Doty,(773) 568-8495,2808243
12/09/2016,CHEV,VN,,TAN,Z682570,IL,10300 S. Doty,(773) 568-8495,2808246
12/09/2016,VOLK,4D,,BLU,Q631045,IL,10300 S. Doty,(773) 568-8495,2808248
12/10/2016,FORD,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2808244
02/23/2017,CHEV,4D,,RED,Z256237,IL,701 N. Sacramento,(773) 265-7605,6877714
02/23/2017,CHEV,4D,,BLU,Z729998,IL,701 N. Sacramento,(773) 265-7605,6877717
12/09/2016,VOLV,4D,,BLK,ZX32542,IL,10300 S. Doty,(773) 568-8495,2808245
02/22/2017,CHRY,LL,,SIL,136T745,IL,10300 S. Doty,(773) 568-8495,2815470
02/23/2017,OLDS,4D,,GLD,,IL,701 N. Sacramento,(773) 265-1846,1535564
02/23/2017,INFI,4D,,BLK,8587211,IL,701 N. Sacramento,(773) 265-7605,6877704
01/06/2017,PONT,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2810316
02/23/2017,JEEP,LL,,GRY,Q703161,IL,701 N. Sacramento,(773) 265-7605,6877706
02/23/2017,VOLK,4D,,SIL,629LHM,IN,701 N. Sacramento,(773) 265-7605,6877721
01/06/2017,DODG,4D,,RED,Z205372,IL,10300 S. Doty,(773) 568-8495,2810317
01/06/2017,CHEV,LL,,BRO,933MHI,IL,10300 S. Doty,(773) 568-8495,2810312
01/06/2017,TOYT,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2810376
01/06/2017,FORD,LL,,GLD,N760279,IL,10300 S. Doty,(773) 568-8495,2810375
01/06/2017,CHEV,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6870821
01/06/2017,PONT,4D,,SIL,Q347318,IL,701 N. Sacramento,(773) 265-7605,6870822
02/23/2017,DODG,4D,,SIL,Q935608,IL,701 N. Sacramento,(773) 265-7605,6877705
01/06/2017,GMC,VN,,TAN,Q461063,IL,10300 S. Doty,(773) 568-8495,2810373
02/23/2017,JEEP,LL,,GLD,,IL,701 N. Sacramento,(773) 265-1846,1535565
02/23/2017,HYUN,4D,,BLK,Q528131,IL,701 N. Sacramento,(773) 265-7605,6877708
01/06/2017,BUIC,4D,,TAN,Z724008,IL,10300 S. Doty,(773) 568-8495,2810374
01/23/2017,MAZD,4D,,WHI,A502108,IL,701 N. Sacramento,(773) 265-7605,6873197
01/23/2017,VOLK,4D,,GRY,Z345382,IL,701 N. Sacramento,(773) 265-7605,6873199
02/22/2017,ACUR,LL,,SIL,Q138677,IL,10300 S. Doty,(773) 568-8495,2815537
02/23/2017,HYUN,4D,,GRY,Q347993,IL,701 N. Sacramento,(773) 265-7605,6877710
02/23/2017,HOND,2D,,BLK,Q373546,IL,701 N. Sacramento,(773) 265-7605,6877718
02/23/2017,HOND,VN,,BLU,R169717,IL,701 N. Sacramento,(773) 265-7605,6877720
01/31/2017,HOND,4D,CIV,BLK,S925201,IL,701 N. Sacramento,(773) 265-7605,6874530
12/10/2016,CHEV,4D,,BLK,Q610097,IL,10300 S. Doty,(773) 568-8495,2808260
12/10/2016,JAGU,4D,,BLU,Z803144,IL,10300 S. Doty,(773) 568-8495,2808258
02/23/2017,FORD,LL,,GRY,DF3C172,TX,701 N. Sacramento,(773) 265-7605,6877712
01/05/2017,BUIC,4D,,WHI,Z687116,IL,701 N. Sacramento,(773) 265-7605,6870676
02/23/2017,FORD,4D,,GRY,N199211,IL,10300 S. Doty,(773) 568-8495,2815591
02/24/2017,BUIC,4D,,MAR,Q916606,IL,10300 S. Doty,(773) 568-8495,2815623
01/31/2017,HOND,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2812904
02/24/2017,AUDI,4D,,SIL,Z238080,IL,701 N. Sacramento,(773) 265-7605,6877796
01/31/2017,CHEV,4D,,GLD,885S813,IL,10300 S. Doty,(773) 568-8495,2812906
12/10/2016,TOYT,4D,,GRY,P45D729,IL,701 N. Sacramento,(773) 265-7605,6867602
02/24/2017,GMC,VN,,WHI,Z296726,IL,701 N. Sacramento,(773) 265-7605,6877798
01/31/2017,DODG,4D,,WHI,E791907,IL,10300 S. Doty,(773) 568-8495,2812903
01/05/2017,FORD,VN,,TAN,Q168135,IL,10300 S. Doty,(773) 568-8495,2810119
01/05/2017,FORD,4D,,RED,S726309,IL,10300 S. Doty,(773) 568-8495,2810111
02/01/2017,VOLV,4D,,BLK,658S123,IL,10300 S. Doty,(773) 568-8495,2812923
02/02/2017,CHEV,4D,,WHI,AG52798,IL,10300 S. Doty,(773) 568-8495,2813151
12/09/2016,GMC,LL,,BLK,Z263962,IL,701 N. Sacramento,(773) 265-7605,6867509
12/11/2016,TOYT,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6867751
02/23/2017,HYUN,LL,,GLD,S113946,IL,10300 S. Doty,(773) 568-8495,2815558
12/09/2016,CHRY,4D,,RED,Q455880,IL,701 N. Sacramento,(773) 265-7605,6867508
01/31/2017,CHEV,2D,,SIL,Q464811,IL,10300 S. Doty,(773) 568-8495,2812858
02/23/2017,TOYT,4D,,GRY,E574930,IL,10300 S. Doty,(773) 568-8495,2815559
